68|7|40|0|91|0|1|2124|239|243|0|65|11|0|1
78|8|34|1|2076|0|1|2032|126|213|0|80|11|1|1
59|6|39|0|1811|0|1|299|170|380|0|8|13|0|1
69|8|34|0|2394|0|1|219|61|62|0|47|15|0|1
140|21|32|0|3356|0|1|1527|13|110|0|0|13|0|1
59|6|39|0|1811|0|1|852|263|105|0|49|14|0|1
67|8|39|0|584|0|1|293|155|150|0|39|10|0|1
119|21|35|0|4116|0|2|1329|1327|361|0|4|9|0|1
134|18|44|2|55|0|1|2055|1025|1960|0|106|13|0|1
120|19|38|0|2648|0|1|357|200|219|0|34|15|0|1
101|15|35|0|245|0|1|946|380|329|0|97|11|0|1
140|21|32|0|3356|0|1|896|313|292|0|84|9|0|1
99|18|36|0|209|0|1|2199|488|401|0|49|13|0|1
92|11|38|1|601|0|1|342|90|126|0|57|9|0|1
120|19|38|0|2648|0|1|451|161|230|0|31|14|0|1
59|6|39|0|1811|0|1|597|379|665|0|0|10|0|1
104|11|47|2|0|0|1|981|148|247|0|38|7|1|0
69|8|34|0|2394|0|1|981|148|247|0|38|7|1|1
31|6|16|0|0|0|0|1413|611|831|0|0|9|0|0
94|11|40|0|938|0|1|108|180|297|0|10|8|0|1
63|10|27|1|0|0|0|844|0|1|0|0|10|0|0
58|12|24|0|5472|0|1|1540|1299|185|0|68|11|1|1
140|21|32|0|3356|0|1|1496|313|249|0|101|15|0|1
129|18|44|1|356|0|1|1837|361|1790|0|72|13|0|1
140|25|50|3|3|0|1|417|19|19|0|71|15|0|0
140|26|54|2|2|0|1|438|38|1076|0|82|14|0|0
95|11|35|0|1869|0|1|157|67|214|0|0|15|0|1
36|6|20|0|2|0|1|450|222|231|0|58|6|1|0
138|24|54|2|2|0|0|0|1|40|0|51|8|1|0
126|23|50|2|0|0|0|438|38|1076|0|82|14|0|0
125|23|51|2|2|0|0|417|19|19|0|71|15|0|0
128|23|50|2|1|0|0|0|4|40|0|51|7|1|0
70|13|32|0|586|0|1|651|1691|1331|0|80|12|1|1
140|23|45|0|4282|0|1|229|42|76|0|70|6|0|1
144|23|43|0|895|1|1|676|760|743|0|42|12|0|1
75|15|31|0|16|0|1|1147|1417|1748|0|24|15|0|1
144|19|45|0|326|0|1|1152|621|592|0|26|9|0|1
112|15|38|0|905|0|2|259|419|307|0|31|8|0|1
75|9|33|0|511|0|1|302|223|330|0|30|11|0|1
122|19|33|0|713|0|1|1314|1256|1988|0|141|11|0|1
95|15|29|0|0|0|1|1370|138|503|0|0|8|0|0
58|12|24|0|5472|0|1|612|23|148|0|0|9|0|1
80|16|22|0|0|0|0|1522|561|446|0|9|7|0|0
58|12|24|0|5472|0|1|256|1082|680|0|0|14|0|1
69|10|32|0|284|0|1|1540|1299|185|0|68|11|1|1
140|21|32|0|3356|0|1|1027|672|590|0|148|10|1|1
24|5|15|0|0|0|0|272|108|102|0|6|6|0|0
78|8|34|1|2076|0|1|456|17|96|0|0|8|0|1
144|22|48|1|679|0|1|651|1691|1331|0|80|12|1|1
140|21|32|0|3356|0|1|1073|711|226|0|141|15|0|1
69|10|32|0|284|0|1|398|117|212|0|61|13|0|1
58|12|24|0|5472|0|1|2068|74|77|0|17|8|1|1
140|21|32|0|3356|0|1|2410|300|529|0|0|9|0|1
136|25|29|1|0|0|0|1624|1161|1992|0|52|14|1|1
110|11|42|1|75|0|1|1106|234|167|0|23|11|0|1
69|8|34|0|2394|0|1|2060|250|213|0|52|9|0|1
59|6|34|0|1954|0|1|1348|274|249|0|0|14|0|1
99|17|33|0|12|0|1|1068|462|99|0|5|7|0|1
58|7|28|0|1714|0|1|717|309|239|0|14|11|0|1
140|21|32|0|3356|0|1|338|133|139|0|40|10|0|1
140|21|32|0|3356|0|1|1413|634|294|0|42|15|0|1
17|3|14|0|0|0|0|2183|469|1545|0|125|8|0|0
140|21|32|0|3356|0|1|834|1753|1555|0|138|13|1|1
131|19|48|1|1217|0|1|198|94|125|0|59|15|0|1
89|17|36|0|16|0|1|964|388|309|0|11|9|0|1
106|16|45|1|149|1|1|614|1261|1171|0|34|13|0|1
83|10|37|1|468|0|1|1635|165|116|0|115|12|0|1
140|21|32|0|3356|0|1|676|760|743|0|42|12|0|1
52|8|31|1|130|0|1|1355|845|555|0|20|13|1|1
59|6|39|0|1811|0|1|736|21|51|0|46|13|1|1
95|13|37|0|18|0|1|344|1300|2000|0|114|10|0|1
95|11|40|1|419|0|2|1487|782|569|0|13|10|1|1
119|21|35|0|4116|0|2|227|723|2001|0|83|10|0|1
95|13|37|0|18|0|1|1554|820|1599|0|156|14|1|1
58|12|24|0|5472|0|1|1219|946|533|0|108|9|0|1
131|15|44|0|3|0|1|1139|269|115|0|19|15|0|0
119|21|35|0|4116|0|2|282|195|237|0|61|7|0|1
23|5|15|0|0|0|0|785|1334|241|0|0|9|0|1
140|23|45|0|4282|0|1|982|239|190|0|89|10|1|1
58|6|33|0|1035|0|1|644|283|287|0|0|10|0|1
76|10|42|1|548|0|1|1018|409|320|0|25|9|0|1
75|15|31|0|16|0|1|643|3459|2278|0|25|11|0|1
129|18|44|1|356|0|1|147|114|118|0|41|15|0|1
140|21|32|0|3356|0|1|992|840|516|0|22|5|0|1
